"Asus GeForce RTX 3080 TUF GAMING OC V2 LHR";"154 000 до 199 765 р."
"Gigabyte GeForce RTX 3080 GAMING OC LHR 10G";"137 900 до 188 420 р."
"Gigabyte GeForce RTX 3080 Ti GAMING OC 12G";"172 500 до 233 947 р."
"MSI GeForce RTX 3080 Ti VENTUS 3X 12G OC";"174 700 до 214 900 р."
"Palit GeForce RTX 3080 Ti GamingPro";"176 000 до 239 999 р."
"Palit GeForce RTX 3080 GameRock V1 LHR";"142 830 до 205 320 р."
"Gigabyte GeForce RTX 3080 Ti VISION OC 12G";"167 900 до 197 999 р."
"Gigabyte GeForce RTX 3080 TURBO LHR 10G";"134 990 до 202 240 р."
"Palit GeForce RTX 3080 GamingPro V1 LHR";"139 000 до 183 110 р."
"Gigabyte GeForce RTX 3080 VISION OC LHR 10G";"155 990 до 190 752 р."
"MSI GeForce RTX 3080 VENTUS 3X PLUS 10G OC LHR";"144 980 до 189 810 р."
"Gigabyte GeForce RTX 3080 AORUS GAMING BOX";"197 530 до 277 747 р."
"Asus GeForce RTX 3080 TURBO V2 LHR";"157 000 до 201 400 р."
"Gigabyte GeForce RTX 3080 AORUS GAMING BOX LHR";"150 586 до 204 000 р."
"Gigabyte GeForce RTX 3080 GAMING OC WATERFORCE WB LHR 10G";"159 990 до 207 500 р."
"Gigabyte GeForce RTX 3080 AORUS XTREME WATERFORCE LHR 10G";"170 620 до 192 100 р."
"Asus GeForce RTX 3080 Ti TUF Gaming OC";"186 760 до 263 181 р."
"MSI GeForce RTX 3080 GAMING Z TRIO 10G LHR";"150 350 до 170 765 р."
"Palit GeForce RTX 3080 Ti GameRock";"183 490 до 219 999 р."
"Gigabyte GeForce RTX 3080 Ti AORUS MASTER 12G";"187 405 до 219 999 р."
"Asus GeForce RTX 3080 ROG STRIX V2 White OC LHR";"150 350 до 194 826 р."
"Gigabyte GeForce RTX 3080 AORUS XTREME LHR 10G";"158 150 до 162 660 р."
"Gigabyte GeForce RTX 3080 VISION OC 10G";"163 390 до 224 000 р."
"Asus GeForce RTX 3080 TURBO";200 920 р.
"Gigabyte GeForce RTX 3080 AORUS MASTER 3.0 LHR 10G";"149 600 до 211 100 р."
"EVGA GeForce RTX 3080 FTW3 ULTRA GAMING LHR";"145 990 до 153 000 р."
"Gigabyte GeForce RTX 3080 GAMING OC WATERFORCE WB 10G";223 999 р.
"Gigabyte GeForce RTX 3080 EAGLE 12G LHR";"179 990 до 181 900 р."
"Gigabyte GeForce RTX 3080 AORUS XTREME WATERFORCE WB LHR 10G";"169 990 до 172 463 р."
"Gigabyte GeForce RTX 3080 GAMING OC 12G LHR";"185 990 до 189 990 р."
"KFA2 GeForce RTX 3080 38NWM3MD99RK LHR";"139 838 до 176 510 р."
"Gigabyte GeForce RTX 3080 Ti AORUS GAMING BOX";"187 990 до 188 999 р."
"MSI GeForce RTX 3080 Ti SUPRIM X 12G";189 990 р.
"Gigabyte GeForce RTX 3080 AORUS MASTER 10G";209 537 р.
"ZOTAC GeForce RTX 3080 Ti Trinity OC";180 000 р.
"MSI GeForce RTX 3080 VENTUS 3X 10G OC LHR";149 000 р.
"Gigabyte GeForce RTX 3080 Ti EAGLE 12G";201 890 р.
"Gigabyte GeForce RTX 3080 GAMING OC 10G";167 124 р.
"Palit GeForce RTX 3080 GamingPro";"211 350 до 230 600 р."
"ZOTAC GeForce RTX 3080 Ti AMP Holo";199 990 р.
"Gigabyte GeForce RTX 3080 EAGLE 10G";195 990 р.
"Colorful GeForce RTX 3080 Ti NB-V";195 800 р.
"Gainward GeForce RTX 3080 Phoenix";"210 000 до 226 500 р."
"MSI GeForce RTX 3080 GAMING Z TRIO 10G";224 900 р.
"ZOTAC GeForce RTX 3080 Trinity OC";"213 682 до 231 151 р."
"ZOTAC GeForce RTX 3080 AMP Holo";"213 400 до 223 100 р."
"INNO3D GeForce RTX 3080 ICHILL X4 LHR";212 800 р.
"PNY GeForce RTX 3080 Ti 12GB XLR8 Gaming REVEL";"217 000 до 229 880 р."
"ZOTAC GeForce RTX 3080 Trinity OC";"213 682 до 231 151 р."
"ZOTAC GeForce RTX 3080 AMP Holo";"213 400 до 223 100 р."
"INNO3D GeForce RTX 3080 ICHILL X4 LHR";212 800 р.
"PNY GeForce RTX 3080 Ti 12GB XLR8 Gaming REVEL";"217 000 до 229 880 р."
"EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING";"188 600 до 238 000 р."
"Gainward GeForce RTX 3080 Phantom GS";230 600 р.
"Asus GeForce RTX 3080 ROG STRIX GAMING OC";"228 600 до 251 520 р."
"Asus GeForce RTX 3080 TUF OC GAMING";"205 400 до 221 160 р."
"Palit GeForce RTX 3080 GamingPro 12GB LHR";0
"Palit GeForce RTX 3080 GameRock 12GB LHR";0
"MSI GeForce RTX 3080 VENTUS 3X 10G OC";229 000 р.
